Rv3396c;Rv0001
Rv3411c;Rv0001
Rv1908c;Rv0117
Rv3913;Rv0117
Rv0573c;Rv0212c
Rv1594;Rv0212c
Rv1595;Rv0212c
Rv1596;Rv0212c
Rv0252;Rv0353
Rv1018c;Rv0485
Rv1692;Rv0485
Rv3332;Rv0485
Rv3436c;Rv0485
Rv0820;Rv0491
Rv0936;Rv0491
Rv0859;Rv0586
Rv0860;Rv0586
Rv0524;Rv0844c
Rv1029;Rv1027c
Rv1030;Rv1027c
Rv1031;Rv1027c
Rv0252;Rv1221
Rv0467;Rv1221
Rv0468;Rv1221
Rv1127c;Rv1221
Rv1131;Rv1221
Rv2443;Rv1221
Rv3793;Rv1267c
Rv3794;Rv1267c
Rv3795;Rv1267c
Rv1380;Rv1657
Rv1381;Rv1657
Rv1383;Rv1657
Rv1385;Rv1657
Rv1652;Rv1657
Rv1653;Rv1657
Rv1654;Rv1657
Rv1655;Rv1657
Rv1656;Rv1657
Rv1659;Rv1657
Rv0252;Rv1785c
Rv0253;Rv1785c
Rv0467;Rv1785c
Rv0468;Rv1785c
Rv1127c;Rv1785c
Rv1436;Rv1785c
Rv1437;Rv1785c
Rv1438;Rv1785c
Rv1617;Rv1785c
Rv2847c;Rv1785c
Rv2995c;Rv1785c
Rv1908c;Rv1909c
Rv1098c;Rv1931c
Rv1099c;Rv1931c
Rv1445c;Rv1931c
Rv1447c;Rv1931c
Rv3846;Rv1931c
Rv0642c;Rv2069
Rv0644c;Rv2069
Rv0951;Rv2069
Rv0952;Rv2069
Rv1731;Rv2069
Rv2029c;Rv2069
Rv3068c;Rv2069
Rv3314c;Rv2069
Rv3455c;Rv2069
Rv1872c;Rv2359
Rv1928c;Rv2359
Rv2384;Rv2359
Rv2793c;Rv2359
Rv3215;Rv2359
Rv3229c;Rv2359
Rv3846;Rv2359
Rv0112;Rv2711
Rv0482;Rv2711
Rv0524;Rv2711
Rv1347c;Rv2711
Rv1348;Rv2711
Rv1349;Rv2711
Rv1843c;Rv2711
Rv1844c;Rv2711
Rv2121c;Rv2711
Rv2122c;Rv2711
Rv2378c;Rv2711
Rv2379c;Rv2711
Rv2380c;Rv2711
Rv2381c;Rv2711
Rv2382c;Rv2711
Rv2383c;Rv2711
Rv2384;Rv2711
Rv2386c;Rv2711
Rv3490;Rv2711
Rv3838c;Rv2711
Rv1695;Rv2720
Rv2344c;Rv2720
Rv1236;Rv3080c
Rv1237;Rv3080c
Rv1238;Rv3080c
Rv1328;Rv3080c
Rv0082;Rv3133c
Rv0573c;Rv3133c
Rv1737c;Rv3133c
Rv2006;Rv3133c
Rv2029c;Rv3133c
Rv2006;Rv3133c
Rv0252;Rv3223c
Rv1336;Rv3223c
Rv1338;Rv3223c
Rv2465c;Rv3223c
Rv2467;Rv3223c
Rv3913;Rv3223c
Rv1568;Rv3279c
Rv1589;Rv3279c
Rv0432;Rv3286c
Rv1092c;Rv3286c
Rv0032;Rv3291c
Rv0069c;Rv3291c
Rv0070c;Rv3291c
Rv0189c;Rv3291c
Rv0884c;Rv3291c
Rv1559;Rv3291c
Rv1826;Rv3291c
Rv1832;Rv3291c
Rv2210c;Rv3291c
Rv2211c;Rv3291c
Rv2987c;Rv3291c
Rv2988c;Rv3291c
Rv2995c;Rv3291c
Rv2996c;Rv3291c
Rv3001c;Rv3291c
Rv3002c;Rv3291c
Rv3003c;Rv3291c
Rv3710;Rv3291c
Rv3858c;Rv3291c
Rv3859c;Rv3291c
Rv1885c;Rv3414c
Rv3534c;Rv3574
Rv3535c;Rv3574
Rv0069c;Rv3575c
Rv0070c;Rv3575c
Rv0772;Rv3575c
Rv0777;Rv3575c
Rv0780;Rv3575c
Rv0803;Rv3575c
Rv0808;Rv3575c
Rv0809;Rv3575c
Rv0956;Rv3575c
Rv0957;Rv3575c
Rv1017c;Rv3575c
Rv1826;Rv3575c
Rv1832;Rv3575c
Rv2139;Rv3575c
Rv2211c;Rv3575c
Rv2920c;Rv3575c
Rv3275c;Rv3575c
Rv3276c;Rv3575c
Rv3396c;Rv3575c
Rv3411c;Rv3575c
Rv0408;Rv3676
Rv0409;Rv3676
Rv0462;Rv3676
Rv0478;Rv3676
Rv0618;Rv3676
Rv0619;Rv3676
Rv0620;Rv3676
Rv0727c;Rv3676
Rv0805;Rv3676
Rv0884c;Rv3676
Rv0896;Rv3676
Rv0951;Rv3676
Rv0952;Rv3676
Rv1092c;Rv3676
Rv1185c;Rv3676
Rv1200;Rv3676
Rv1213;Rv3676
Rv1236;Rv3676
Rv1237;Rv3676
Rv1238;Rv3676
Rv1240;Rv3676
Rv1248c;Rv3676
Rv1406;Rv3676
Rv1436;Rv3676
Rv1437;Rv3676
Rv1438;Rv3676
Rv1475c;Rv3676
Rv1538c;Rv3676
Rv1552;Rv3676
Rv1553;Rv3676
Rv1554;Rv3676
Rv1692;Rv3676
Rv2124c;Rv3676
Rv2215;Rv3676
Rv2220;Rv3676
Rv2436;Rv3676
Rv2443;Rv3676
Rv2454c;Rv3676
Rv2455c;Rv3676
Rv2858c;Rv3676
Rv2859c;Rv3676
Rv2860c;Rv3676
Rv3275c;Rv3676
Rv3276c;Rv3676
Rv3302c;Rv3676
Rv3314c;Rv3676
Rv3316;Rv3676
Rv3318;Rv3676
Rv3319;Rv3676
Rv3332;Rv3676
Rv3396c;Rv3676
Rv3411c;Rv3676
Rv3634c;Rv3676
Rv3696c;Rv3676
Rv0470c;Rv1395
Rv1511;Rv1395
Rv2178c;Rv1395
Rv2320c;Rv1395
Rv2321c;Rv1395
Rv2322c;Rv1395